status,year,country,region,borrowerCode,borrowerType,borrowerNotGouv,financier,financeType,group,reportedValue,reportedUnit,cleanUSD,interestRate,liborRate,repayment,grace,term,purpose
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,4,USD,4,,Libor + 1.5,,5.0,17,"Huambo, Health Care Center"
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,11,USD,11,,Libor + 1.5,,5.0,17,"Malange, 3 Health Care Centers "
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,17,USD,17,,Libor + 1.5,,5.0,17,"Cazengo, Kwanza-Norte and Sumbe, Kwanza-Sul, Municipal Hospitals "
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,7,USD,7,,Libor + 1.5,,5.0,17,"Dondo and Ndalatando, Kwanza-Norte, 2 Health Care Centers "
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,8,USD,8,,Libor + 1.5,,5.0,17,"Namibe, Municipal Hospital of Namibe "
Completed,2004,Angola,CA,,,Government,Eximbank,FA-sub,1.0,20,USD,20,,Libor + 1.5,,5.0,17,"Agricultural Equipment, Machinery and Tools Purchase "
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,29,USD,29,,Libor + 1.5,,5.0,17,Agricultural Equipment for MECANAGRO Purchase
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,86,USD,86,,Libor + 1.5,,5.0,17,"Luena, Caxito, Gangelas, Waco-Kungo Irrigation Projects, Phase I "
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,13,USD,13,,Libor + 1.5,,5.0,17,"Quifangondo-Mabubas Transmission Line, 60Kv  "
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,25,USD,25,,Libor + 1.5,,5.0,17,"Capanda-Lucala-Ndalatando Transmission Line, 220kV "
Completed,2004,Angola,CA,,,Government,Eximbank,FA-sub,1.0,40,USD,40,,Libor + 1.5,,5.0,17,"Luanda Electrical Network Rehabilitation and Expansion, Phase II "
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,35,USD,35,,Libor + 1.5,,5.0,17,"Cambambe-Luanda Transmission Line, 220kV"
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,27,USD,27,,Libor + 1.5,,5.0,17,"Luanda-Sul Substation, 220kV"
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,40,USD,40,,Libor + 1.5,,5.0,17,Luanda's Water Supply System
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,20,USD,20,,Libor + 1.5,,5.0,17,Huambo's Water Supply System
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,19,USD,19,,Libor + 1.5,,5.0,17,"Caxito, Catete and Uíge's Water Supply System"
Completed,2004,Angola,CA,,,Government,Eximbank,FA-sub,1.0,12,USD,12,,Libor + 1.5,,5.0,17,Road Transport Support
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,26,USD,26,,Libor + 1.5,,5.0,17,Hospital of Malange
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,36,USD,36,,Libor + 1.5,,5.0,17,Hospital of Benguela
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,43,USD,43,,Libor + 1.5,,5.0,17,Regional Hospital of Lubango
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,29,USD,29,,Libor + 1.5,,5.0,17,Central Hospital of Huambo
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,39,USD,39,,Libor + 1.5,,5.0,17,"Huambo, Huíla and Benguela, 3 Municipal Hospitals; Benguela, 2 Health Care Centers; Huíla, 2 Health Care Centers "
Implementation,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,62,USD,62,,Libor + 1.5,,5.0,17,"HBO (2) and HLA (2), 4 Secondary Schools; HBO, HLA and Bié, 3 Institutes of Technology; HBO, Bié, K. Kubango and Cunene, 4 Institutes of Business Administration"
Implementation,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,84,USD,84,,Libor + 1.5,,5.0,17,"Luanda, Bengo, Cabinda and Namibe, 4 Institutes of Technology; Luanda (2), Benguela (1), Zaire (1), and Namibe (1), 5 Institutes of Business Administration; Luanda (2), Benguela (2) and Namibe (2) 6 Secondary Schools"
Implementation,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,61,USD,61,,Libor + 1.5,,5.0,17,"Lunda Sul, Lunda Norte and Uíge, 3 Institutes of Technology; Uíge, 1 Agrarian Institute; Uíge and Moxico, 2 Institutes of Business Administration; Uíge, 1 Secondary School"
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,60,USD,60,,Libor + 1.5,,5.0,17,TPA Production Center in Camama Construction and Equipping
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,191,USD,191,,Libor + 1.5,,5.0,17,"Kifangondo-Caxito-Uíge-Negage Road, 371 km "
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,44,USD,44,,Libor + 1.5,,5.0,17,Neto University Campus Completion of the Buildings
Completed,2005,Angola,CA,,,Government,Eximbank,FA-sub,1.0,37,USD,37,,Libor + 1.5,,5.0,17,Luanda Palace of Justice Courthouse
Completed,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,88,USD,88,,Libor + 1.5,,5.0,17,30m Boats - 25 Units; 4.15m Canoes - 1000 Units
Implementation,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,88,USD,88,,Libor + 1.5,,5.0,17,46.9m Patrol Boats - 5 Units; 33.88m Shrimp Boats - 10 Units; Canoes - 2000 Units
Implementation,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,64,USD,64,,Libor + 1.5,,5.0,17,"33.56m Fishing Boats - 10 Units; 49m Speed Boat - 1 Unit; 89.86m ""Navo-Porão"" - 1 Unit ; 29.7m Patrol Boats - 5 units ; and 34m Tugboat - 1 Unit"
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,49,USD,49,,Libor + 1.5,,5.0,17,"Irrigation Projects (Caxito, Gandgelas, Luena, and Waco-Kungo), Phase II"
Completed,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,67,USD,67,,Libor + 1.5,,5.0,17,"Bengo, Bié, K.Norte, K.Sul, LDA, Malange, and Moxico,  New Generation Network, Project 1"
Completed,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,61,USD,61,,Libor + 1.5,,5.0,17,"Benguela, K.Norte, Cunene, Huambo, Uíge, and Zaire, New Generation Network, Project 2 "
Completed,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,68,USD,68,,Libor + 1.5,,5.0,17,"Bié, HBO, HLA, LDA, New Generation Network, Project 3"
Completed,2006,Angola,CA,,,Government,Eximbank,FA-sub,1.0,53,USD,53,,Libor + 1.5,,5.0,17,"Bié, HBO, HLA, and LDA, New Generation Network, Project 4 "
Completed,2008,Angola,CA,,,Government,Eximbank,FA-sub,1.0,26,USD,26,,Libor + 1.5,,5.0,17,"Luanda MT and BT Networks, Phase 3"
Completed,2008,Angola,CA,,,Government,Eximbank,FA-sub,1.0,27,USD,27,,Libor + 1.5,,5.0,17,"Malange MT and BT Networks, Phase 2"
Completed,2008,Angola,CA,,,Government,Eximbank,FA-sub,1.0,46,USD,46,,Libor + 1.5,,5.0,17,"Lundas Sul and Norte, Dundo, and Saurimo, MT and BT Networks "
Completed,2008,Angola,CA,,,Government,Eximbank,FA-sub,1.0,32,USD,32,,Libor + 1.5,,5.0,17,"Lundas Sul and Norte, Dundo and Saurimo Water Systems "
Signed,2005,Angola,CA,,,Government,CIDCA,ZIL,1.0,6,USD,6,0,,,,,"Unknown (""Technical Projects"")"
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,50,USD,50,,Libor + 1.25,,5.0,15,"Benguela, Huambo and Bié MT and BT Networks, Part 1 - Huambo"
Completed,2008,Angola,CA,,,Government,Eximbank,FA-sub,1.0,144,USD,130,,Libor + 1.25,,5.0,15,"Luanda MT and BT Networks, Phase 4"
Signed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,23,USD,23,,Libor + 1.25,,5.0,15,"Lubando MT and BT Networks, Phase 2"
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,83,USD,83,,Libor + 1.25,,5.0,15,"Luanda's Water Supply System, Package 4"
Signed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,20,USD,20,,Libor + 1.25,,5.0,15,Agricultural Equipment Purchase
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,477,USD,429,,Libor + 1.25,,5.0,15,"Caxito-Nzeto Road Rehabilitation, 208km (Disbursements from 2007 Credit Line)"
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,160,USD,144,,Libor + 1.25,,5.0,15,"Nzeto-Tomboco-Mbanza Congo Road Rehabilitation, 214km "
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,73,USD,73,,Libor + 1.25,,5.0,15,"Cabinda's Integrated Infrastructure, Phase I"
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,113,USD,102,,Libor + 1.25,,5.0,15,Zaire's Integrated Infrastructure Phase I
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,84,USD,84,,Libor + 1.25,,5.0,15,"Malange's Integrated Infrastructure, Phase I"
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,57,USD,57,,Libor + 1.25,,5.0,15,"Cars Purchase - 1500 Units, Phase II"
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,62,USD,62,,Libor + 1.25,,5.0,15,Railroad Equipment Purchase
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,440,USD,396,,Libor + 1.25,,5.0,15,"Luanda, Benguela, Huambo, Uíge, Malange Urban Public Transportation Vehicles Purchase - 5,500 Units"
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,27,USD,27,,Libor + 1.5,,5.0,17,"Huambo and Bié, Complementary Actions in the Agrarian Technical Schools "
Signed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,11,USD,11,,Libor + 1.5,,5.0,17,"Késsua Malange, Complementary Actions in the Agrarian Technical Schools"
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,34,USD,34,,Libor + 1.5,,5.0,17,"Kwanza Sul and Kwanza Norte and  Sumbe, Complementary Actions in the Agrarian Technical Schools"
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,27,USD,27,,Libor + 1.5,,5.0,17,"Cacuaco, Sambizanga, Viana, Cazenga, Benguela, and Lobito, Complementary Actions in the Technical Schools "
Signed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,9,USD,9,,Libor + 1.5,,5.0,17,"Cacuaco, Nova Vida, Sapú, and Benguela, Complementary Actions in the Secondary Schools"
Signed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,13,USD,13,,Libor + 1.5,,5.0,17,"Huíla, Complementary Actions in the Secondary School and Technical School; Malange, 2 Secondary Schools"
Signed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,13,USD,13,,Libor + 1.5,,5.0,17,"Cabinda, Complementary Actions in the Technical School"
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,68,USD,68,,Libor + 1.5,,5.0,17,"HBO, Malange, BLA, and Huíla Regional Hospitals"
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,65,USD,65,,Libor + 1.5,,5.0,17,Complements to 7 Municipal Hospitals and 9 Health Care Centers
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,10,USD,10,,Libor + 1.5,,5.0,17,Additional Values to the Municipal Hospital of Caculama
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,51,USD,51,,Libor + 1.5,,5.0,17,"Rehabilitation of the Streets in the Cities of Caxito (20km), Uíge (22km), Negage (10km)"
Completed,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,36,USD,36,,Libor + 1.5,,5.0,17,Refrigerated Trucks and Isothermal Vans Purchase
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,59,USD,59,,Libor + 1.5,,5.0,17,"418,750 New Telecommunication Lines"
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,10,USD,10,,Libor + 1.5,,5.0,17,"Implementing 26,000 New Household Connections and Expansion of the SE-PS05 Catete Road (Rehabilitation and Expansion of LDA's Electrical Network-PhaseII)"
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,21,USD,21,,Libor + 1.5,,5.0,17,"Expansion of the Network of MT, BT and IP in the city of Caxito and Rehabilitation of the Quifangondo-Cazenga Line (Reconstruction of 60Kv Transmission Line and Quif.-Mabubas Substation)"
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,9,USD,9,,Libor + 1.5,,5.0,17,"Expansion of the Water Supply Network in the City of Huambo, Building of 20 Fountains and 2,000 New Household Connections, Building of Sewage Sludge Treatment Station and One Year of System Management Support"
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,26,USD,26,,Libor + 1.5,,5.0,17,"Building of Residual Water Treatment Station (Quifangondo), Distribution Center in the Municipality of Cacuaco, and Implementing New Household Connections (Contract of Rehabilitation of Luanda's Water System)"
Implementation,2007,Angola,CA,,,Government,Eximbank,FA-sub,1.0,6,USD,6,,Libor + 1.5,,5.0,17,"Expansion of the water supply network in the cities of Caxito and Catete, Building of Fountains and 100 New Household Connections and Assistance with System Management for One Year, and Rehabilitation of the Water Treatment System in Uíge, Expansion of the Water Supply Network and System Management Support for One Year"
Completed,2010,Angola,CA,,,Government,Eximbank,FA-sub,1.0,3000,AOA,28,,,,,,Saurimo's Airport Aerogare Construction
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,2810,AOA,30,,,,,,"Water Supply Systems in Catete and Uíge Rehabilitation and Reinforcement, Phase 2 "
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,2890,AOA,31,,,,,,"Water Supply Systems in Tômbwa, Rehabilitation and Reinforcement, Phase 2"
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,2000,AOA,21,,,,,,"MT/BT Networks - Lunda-Norte and Lunda-Sul Rehabilitation and Expansion, Phase 1"
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,342,AOA,4,,,,,,MT and BT Networks of Mbanza Congo Rehabilitation
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,3089,AOA,33,,,,,,"Purchase of Tractors, Repair of Machines, Construction of Workshops, Training of Mecanagro Technicians"
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,1100,AOA,12,,,,,,"Purchase of 435 Isothermal Refrigerator Trucks for General, Frozen, Dry, or Salted Fish Cargo"
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,1528,AOA,16,,,,,,"Purchase of 10 Line Fishing Boats, 1 Freezer Ship, 5 Patrol Boats, 1 Boat"
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,2328,AOA,25,,,,,,"Lunda-Norte and Lunda-Sul Water Supply Rehabilitation and Reinforcement, Part 1"
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,2400,AOA,25,,,,,,Replacement of 1500 Cars Destroyed in the War
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,7876,AOA,83,,,,,,"Rehabilitation, Modernization of Workshops, Angola's Railways"
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,6600,AOA,70,,,,,,Catamaran Boats Purchase - 4 Units
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,8100,AOA,86,,,,,,Purchase of Railway Rolling Stock
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,8000,AOA,85,,,,,,"Luanda-Soyo Highway Rehabilitation, Nzeto-Soyo Section, 141km "
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,5000,AOA,53,,,,,,"Luanda-Soyo Highway, Bridge over M'Bridge River, Package 4 "
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,4400,AOA,46,,,,,,"Luanda-Soyo Highway, Package 5 (Km 8 to Km 104)"
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,4400,AOA,46,,,,,,"Luanda-Soyo Highway, Package 6 (Km 104 to Km 149)"
Implementation,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,4400,AOA,46,,,,,,"Luanda-Soyo Highway, Infrastructure Work for the Nzeto-Soyo Section, Package 7 "
Implementation,2012,Angola,CA,,,Government,Eximbank,FA-sub,1.0,1900,AOA,20,,,,,,"Water Supply Systems in Tômbwa Rehabilitation and Reinforcement, Phase 2"
Completed,2014,Angola,CA,,,Government,Eximbank,FA-sub,1.0,112,USD,112,,,,,,Hydropower in Chiumbe-dala 12.42MW and 99.6km Transmission Line in Luena 110kV
Completed,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,1300,AOA,14,,,,,,Angola E-Government Project for Cnti - Project 1
Completed,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,3400,AOA,36,,,,,,"Angola E-Government Project for 13 ""Cap. Prov."" - Project 4"
Completed,2011,Angola,CA,,,Government,Eximbank,FA-sub,1.0,2110,AOA,22,,,,,,Angola E-Government project for Luanda - Project 2
Completed,2014,Angola,CA,,,Government,Eximbank,FA-sub,1.0,68,USD,68,,,,,,Guimba Farm (Cuimba Farm)
Implementation,2017,Angola,CA,,,Government,Eximbank,Loan,1.0,65,USD,65,,,,,,National Geology Plan Project
Implementation,2017,Angola,CA,,,Government,CDB,Loan,1.0,36,USD,36,,,,,,Ministry of Energy and Water Training Center & Database
Completed,2009,Angola,CA,,,Government,Eximbank,Loan,1.0,30000,AOA,337,,,,,,Angola E-Government Project for 4 Major Province's Capitals - Project 3
Signed,2012,Angola,CA,,,Government,China Energy Engineering Corporation (CEEC),SC,1.0,22,USD,22,,,,,,Mabubas Hydropower Project Expansion 10MW
Completed,2010,Angola,CA,,,Government,ICBC,EBC,1.0,60,USD,60,,,,,,Lomaum Hydropower Project 65MW
Completed,2013,Angola,CA,,,Government,Eximbank,EBC,1.0,1180,USD,1003,,,,,,"Soyo-Kapary Transmission, 400kV and Transformation Project "
Completed,2015,Angola,CA,,,Government,ICBC,CommL,1.0,838,USD,838,,,10.0,5.0,15,Soyo I Combined Cycle Power Plant Phase I 750MW
Signed,2007,Angola,CA,,,Government,Eximbank,Loan,1.0,3,USD,3,,,,,,Cabinda Province to Zaire Province Road (Soyo Road?)
Implementation,2016,Angola,CA,,,Government,"MixedCN: Industrial and Commercial Bank of China Ltd. (ICBC), Export-Import Bank of China (Eximbank), Bank of China (BoC), China Construction Bank (CCB), China Minsheng Bank, Ping An Bank Co., Ltd., Bank of China (BoC)",CommL,1.0,3700,USD,3700,,,,,15,Caculo Cabaca Hydropower Project 2170MW and transmission lines
Completed,2002,Angola,CA,,,Government,Eximbank,Loan,1.0,90,USD,90,,,,,,"Luanda Railway Phase I Rehabilitation, 444km (Luanda-Malanje line)"
Implementation,2016,Angola,CA,,,Government,Eximbank,Loan,1.0,932,USD,932,,,10.0,5.0,15,Caio Port in Cabinda & Sinosure Premium
Implementation,2011,Angola,CA,,,Government,CDB,MFA-sub,1.0,4600,AOA,49,,,,,,"Irrigation Canal in Calueque, Cunene, Phase I"
Implementation,2011,Angola,CA,,,Government,CDB,MFA-sub,1.0,1300,AOA,14,,,,,,"Irrigation Canal in Calueque, Cunene, Phase II"
Implementation,2011,Angola,CA,,,Government,CDB,MFA-sub,1.0,3089,AOA,33,,,,,,"Purchase of Tractors, Repair of Machines, Construction of Workshops, Training of Mecanagro Technicians"
Completed,2014,Angola,CA,,,Government,CDB,MFA-sub,1.0,74,USD,59,,,,,,"Construction of Integrated Infrastructure, Lar do Patriota, Phase I "
Implementation,2011,Angola,CA,,,Government,CDB,MFA-sub,1.0,8100,AOA,86,,,,,,"Camama - Road Infrastrcture, Disbursement 1"
Implementation,2011,Angola,CA,,,Government,CDB,MFA-sub,1.0,2900,AOA,31,,,,,,"Camama - Road Infrastructure, Disbursement 2"
Completed,2011,Angola,CA,,,Government,CDB,MFA-sub,1.0,12323,AOA,130,,,,,,"Cazenga/Sambizanga, Construction of Requalified Infrastructure"
Implementation,2011,Angola,CA,,,Government,CDB,MFA-sub,1.0,1600,AOA,17,,,,,,"Cazenga / Sambizanga, Social Equipments Requalification, Disbursement 3"
Implementation,2012,Angola,CA,,,Government,CDB,MFA-sub,1.0,3300,AOA,34,,,,,,"Calueque, Cunene, Irrigation Canal, Phase II"
Implementation,2012,Angola,CA,,,Government,CDB,MFA-sub,1.0,5200,AOA,54,,,,,,"Camama - Road Infrastructure, Disbursement 3"
Implementation,2012,Angola,CA,,,Government,CDB,MFA-sub,1.0,5200,AOA,54,,,,,,"Cazenga/Sambizanga, Infrastructures Requalification, Disbursement 4"
Implementation,2012,Angola,CA,,,Government,CDB,MFA-sub,1.0,901,AOA,9,,,,,,"Cazenga / Sambizanga, Social Equipments Requalification, Disbursement 4"
Completed,2011,Angola,CA,,,Government,CDB,MFA-sub,1.0,117,USD,117,,,,,,"Malange, Pedras Negras Farm "
Completed,2012,Angola,CA,,,Government,CDB,MFA-sub,1.0,129,USD,129,,,,,,"Uige, Sanza Pombo Farm "
Implementation,2012,Angola,CA,,,Government,CDB,MFA-sub,1.0,77,USD,77,,,,,,"Cuando Cubango, Longa Farm"
Implementation,2012,Angola,CA,,,Government,CDB,MFA-sub,1.0,89,USD,89,,,,,,"Bie, Camacupa Farm "
Completed,2013,Angola,CA,,,Government,CDB,MFA-sub,1.0,79,USD,79,,,,,,"Moxico, Camaiangala Farm "
Implementation,2014,Angola,CA,,,Government,CDB,MFA-sub,1.0,86,USD,86,,,,,,"Cunene, Manquete Farm "
Signed,2014,Angola,CA,,,Government,CDB,MFA-sub,1.0,27,USD,22,,,,,,"Construction of Integrated Infrastructure, Cabinda, Phase 1 Stage 2"
Signed,2014,Angola,CA,,,Government,CDB,MFA-sub,1.0,15,USD,12,,,,,,"Construction of Integrated Infrastructure, Malanje, Phase 1 Stage 2"
Signed,2014,Angola,CA,,,Government,CDB,MFA-sub,1.0,22,USD,17,,,,,,"Construction of Integrated Infrastructure, Vila do Soyo, Phase 1 Stage 2"
Signed,2014,Angola,CA,,,Government,CDB,MFA-sub,1.0,46,USD,37,,,,,,"Construction of Integrated Infrastructure, Viana, Phase 1"
Signed,2014,Angola,CA,,,Government,CDB,MFA-sub,1.0,69,USD,55,,,,,,"Construction of Integrated Infrastructure, Caxito, Phase 1"
Completed,2002,Angola,CA,,,Government,Eximbank,Loan,1.0,15,USD,15,,,,,,"Luanda Electrical Network Expansion, Phase I "
Completed,2002,Angola,CA,,,Government,Eximbank,Loan,1.0,15,USD,15,,,,,,Lubango Electricity Network
Completed,2002,Angola,CA,,,Government,Eximbank,Loan,1.0,25,USD,25,,,,,,Namibe and Tombowa Electricity
Completed,2010,Angola,CA,2.0,AfrStateCom,Sociedade Nacional de Combustíveis de Angola (Sonangol) (SOE),ICBC,CommL,1.0,2500,USD,2500,,,,,8,Kilamba Kiaxi New Town
Implementation,2011,Angola,CA,2.0,AfrStateCom,Sociedade Nacional de Combustíveis de Angola (Sonangol) (SOE),CDB,CommL,1.0,2000,USD,2000,,,,,9.33,Sonangol Development
Implementation,2012,Angola,CA,2.0,AfrStateCom,Sociedade Nacional de Combustíveis de Angola (Sonangol) (SOE),CDB,CommL,1.0,1000,USD,1000,,Libor + 3.5,,,10,Sonangol Development
Implementation,2013,Angola,CA,2.0,AfrStateCom,Sociedade Nacional de Combustíveis de Angola (Sonangol) (SOE),CDB,CommL,1.0,2500,USD,2500,,,,,7,Sonangol Development
Implementation,2014,Angola,CA,2.0,AfrStateCom,Sociedade Nacional de Combustíveis de Angola (Sonangol) (SOE),CDB,CommL,1.0,2000,USD,2000,,,,,10,Sonangol Development
Completed,2004,Angola,CA,,,Government,Eximbank,Loan,1.0,3000,CNY,362,,,,,,"Benguela Railway, Huambo Railway, 1344km"
Implementation,2017,Angola,CA,,,Government,CDB,MFA-sub,1.0,2200,USD,2200,,,,,,Multisector
Implementation,2016,Angola,CA,,,Government,CDB,MFA-sub,1.0,50,USD,50,,,,,,"Cabinda Campus, 11 de Novembro University, Phase II"
Implementation,2016,Angola,CA,,,Government,CDB,MFA-sub,1.0,46,USD,46,,,,,,"Caconda-Ngalo River Road in Huíla, EN110 and 280 Road Rehabilitation, Phase I "
Implementation,2016,Angola,CA,,,Government,CDB,MFA-sub,1.0,51,USD,51,,,,,,"Ngalo River-Quipungo Road in Huíla, Rehabilitation of EN110 and 280, Phase II  "
Implementation,2016,Angola,CA,,,Government,CDB,MFA-sub,1.0,48,USD,48,,,,,,"Lunda-Sul Road Rehabilitation, Xinge-Lubalo Connection"
Implementation,2016,Angola,CA,,,Government,CDB,MFA-sub,1.0,56,USD,56,,,,,,"Cuanza-Sul EN120 Road Rehabilitation Lot 4, Alto Dondo / Waco Kungo / Bridge of the River Keve, Lot 04 - São Mamede / Waco Kungo, 57.5 km "
Implementation,2016,Angola,CA,,,Government,CDB,MFA-sub,1.0,76,USD,76,,,,,,"Cabinda Water Supply System, including the Sassa-Zau Water Treatment Plant, Part 1 "
Implementation,2016,Angola,CA,,,Government,CDB,MFA-sub,1.0,76,USD,76,,,,,,"Cabinda Water Supply System, Part 2"
